geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US21111004500,"Census Tract 45, Jefferson, KY",3295,248,3061,263,2012,274,948,186,0,11,18,29,0,11,21,32,62,86,0,11,62,86,234,177,218,178,0,11,0,11,0,11,0,11,0,11,16,18,16,18,0,11
14000US21111007501,"Census Tract 75.01, Jefferson, KY",5500,313,5457,311,5151,317,27,27,0,16,191,100,0,16,23,23,65,49,0,16,65,49,43,32,29,27,0,16,4,6,0,16,0,16,6,9,4,6,0,16,4,6
14000US21111007502,"Census Tract 75.02, Jefferson, KY",5663,450,5546,459,5096,488,358,254,0,16,78,43,0,16,0,16,14,13,0,16,14,13,117,81,57,32,0,16,0,16,46,62,0,16,0,16,14,19,0,16,14,19
14000US21111007700,"Census Tract 77, Jefferson, KY",3429,224,3312,224,2941,264,212,140,0,11,128,138,0,11,0,11,31,30,0,11,31,30,117,89,110,88,7,10,0,11,0,11,0,11,0,11,0,11,0,11,0,11
14000US21111009103,"Census Tract 91.03, Jefferson, KY",1563,196,1386,188,886,163,197,146,25,34,262,258,0,11,0,11,16,24,0,11,16,24,177,127,171,127,0,11,0,11,0,11,0,11,6,9,0,11,0,11,0,11
14000US21111009105,"Census Tract 91.05, Jefferson, KY",2383,287,2102,282,1759,296,88,83,0,11,141,194,0,11,5,13,109,89,0,11,109,89,281,204,248,206,9,15,0,11,0,11,0,11,13,19,11,16,11,16,0,11
14000US21111009106,"Census Tract 91.06, Jefferson, KY",5005,430,4678,463,3629,444,532,180,0,16,418,209,0,16,34,52,65,65,0,16,65,65,327,171,214,165,11,15,16,27,0,16,0,16,43,69,43,70,14,22,29,48
14000US21111010001,"Census Tract 100.01, Jefferson, KY",4535,198,4477,201,4143,234,96,47,0,11,164,134,0,11,0,11,74,50,0,11,74,50,58,47,28,23,0,11,0,11,0,11,0,11,30,43,0,11,0,11,0,11
14000US21111010004,"Census Tract 100.04, Jefferson, KY",4973,341,4480,513,3366,468,769,269,0,11,79,68,0,11,0,11,266,205,0,11,266,205,493,424,463,425,0,11,0,11,0,11,0,11,25,23,5,9,0,11,5,9
14000US21111010005,"Census Tract 100.05, Jefferson, KY",4409,289,4251,252,3695,271,403,125,0,11,72,76,0,11,0,11,81,55,0,11,81,55,158,153,149,152,0,11,0,11,0,11,0,11,9,16,0,11,0,11,0,11
14000US21111010006,"Census Tract 100.06, Jefferson, KY",3669,228,3454,202,2822,205,488,226,5,7,49,31,0,11,5,7,85,38,0,11,85,38,215,104,120,70,9,13,0,11,0,11,10,13,72,86,4,5,0,11,4,5
14000US21111010007,"Census Tract 100.07, Jefferson, KY",4385,250,4186,284,3719,288,211,95,0,11,191,98,0,11,15,19,50,36,4,6,46,36,199,147,176,133,11,15,0,11,6,9,0,11,6,6,0,11,0,11,0,11
14000US21111010008,"Census Tract 100.08, Jefferson, KY",3917,245,3647,251,2954,226,490,144,0,11,147,64,0,11,3,4,53,26,0,11,53,26,270,134,108,51,32,30,0,11,0,11,0,11,113,120,17,15,13,13,4,7
14000US21111010102,"Census Tract 101.02, Jefferson, KY",4313,181,4262,172,3992,199,99,65,18,29,102,89,1,2,0,11,50,48,0,11,50,48,51,37,39,32,0,11,0,11,0,11,0,11,12,19,0,11,0,11,0,11
14000US21111010103,"Census Tract 101.03, Jefferson, KY",3992,299,3575,392,3059,381,419,143,7,12,57,38,0,11,0,11,33,37,0,11,33,37,417,251,397,253,0,11,0,11,0,11,0,11,0,11,20,21,0,11,20,21
14000US21111010104,"Census Tract 101.04, Jefferson, KY",2707,170,2579,179,2223,202,200,129,0,11,56,48,0,11,0,11,100,69,27,34,73,47,128,109,118,108,0,11,0,11,0,11,0,11,10,15,0,11,0,11,0,11
14000US21111010307,"Census Tract 103.07, Jefferson, KY",7483,346,7239,361,6015,348,685,212,0,16,442,86,0,16,0,16,97,74,0,16,97,74,244,156,219,153,0,16,0,16,11,17,0,16,14,22,0,16,0,16,0,16
14000US21111010309,"Census Tract 103.09, Jefferson, KY",4736,357,4527,368,3652,365,287,151,16,25,441,97,0,11,0,11,131,81,0,11,131,81,209,165,208,165,0,11,0,11,0,11,0,11,1,2,0,11,0,11,0,11
14000US21111010311,"Census Tract 103.11, Jefferson, KY",7854,573,7564,572,4787,371,1526,271,39,65,657,147,79,85,4,6,472,351,0,16,472,351,290,74,194,95,46,48,0,16,0,16,0,16,23,26,27,46,0,16,27,46
14000US21111010312,"Census Tract 103.12, Jefferson, KY",3254,216,3196,216,2755,296,140,92,0,11,279,148,0,11,22,32,0,11,0,11,0,11,58,65,58,65,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
14000US21111010313,"Census Tract 103.13, Jefferson, KY",5147,401,5050,401,4207,414,267,157,0,16,466,117,0,16,0,16,110,83,46,53,64,65,97,67,68,59,29,51,0,16,0,16,0,16,0,16,0,16,0,16,0,16
14000US21111010314,"Census Tract 103.14, Jefferson, KY",6527,446,6347,446,5477,444,445,121,0,16,275,113,0,16,41,66,109,90,0,16,109,90,180,132,163,128,17,27,0,16,0,16,0,16,0,16,0,16,0,16,0,16
14000US21111010315,"Census Tract 103.15, Jefferson, KY",3582,242,3491,241,3001,291,200,136,0,11,192,137,0,11,42,64,56,68,0,11,56,68,91,85,91,85,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
14000US21111010316,"Census Tract 103.16, Jefferson, KY",4827,239,4749,243,4003,249,350,204,0,11,251,91,0,11,0,11,145,117,0,11,145,117,78,55,44,41,0,11,0,11,0,11,0,11,34,52,0,11,0,11,0,11
14000US21111010317,"Census Tract 103.17, Jefferson, KY",4895,215,4817,214,4363,240,207,91,8,13,173,91,0,11,0,11,66,48,18,26,48,41,78,51,53,33,0,11,0,11,0,11,0,11,25,36,0,11,0,11,0,11
14000US21111010318,"Census Tract 103.18, Jefferson, KY",5585,331,5447,304,4796,342,123,78,0,16,323,137,0,16,0,16,205,131,0,16,205,131,138,71,108,65,8,11,0,16,0,16,0,16,22,27,0,16,0,16,0,16
14000US21111010319,"Census Tract 103.19, Jefferson, KY",4295,203,3732,327,2733,302,689,187,0,11,242,142,0,11,0,11,68,50,11,16,57,47,563,229,501,233,7,12,0,11,0,11,0,11,55,97,0,11,0,11,0,11
14000US21111010320,"Census Tract 103.20, Jefferson, KY",4018,371,3872,381,2153,224,1130,369,11,16,310,147,0,11,0,11,268,174,0,11,268,174,146,110,70,65,53,57,0,11,0,11,0,11,2,4,21,21,10,14,11,15
14000US21111010402,"Census Tract 104.02, Jefferson, KY",6300,380,6029,426,5339,466,309,129,110,142,113,108,0,16,0,16,158,93,0,16,158,93,271,197,215,188,18,29,0,16,0,16,0,16,38,58,0,16,0,16,0,16
14000US21111010403,"Census Tract 104.03, Jefferson, KY",3957,221,3928,221,3262,246,216,127,16,26,345,165,0,11,8,12,81,64,9,13,72,66,29,32,21,27,0,11,3,6,0,11,0,11,5,8,0,11,0,11,0,11
14000US21111010405,"Census Tract 104.05, Jefferson, KY",4810,342,4511,313,3308,394,747,328,12,21,131,143,0,11,0,11,313,178,25,38,288,164,299,255,157,167,21,32,0,11,0,11,0,11,90,144,31,50,31,50,0,11
14000US21111010406,"Census Tract 104.06, Jefferson, KY",6220,324,5979,393,4956,312,726,265,5,9,106,78,0,16,0,16,186,75,6,13,180,72,241,191,220,184,0,16,0,16,0,16,0,16,21,24,0,16,0,16,0,16
14000US21111010500,"Census Tract 105, Jefferson, KY",3811,246,3699,267,3407,303,150,118,0,11,43,57,0,11,0,11,99,92,8,12,91,92,112,107,112,107,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
14000US21111010701,"Census Tract 107.01, Jefferson, KY",5191,277,5128,278,4035,420,289,242,0,16,721,274,0,16,0,16,83,88,0,16,83,88,63,62,63,62,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
14000US21111010702,"Census Tract 107.02, Jefferson, KY",5534,319,5394,323,4171,303,225,113,44,38,809,245,0,16,47,42,98,118,0,16,98,118,140,68,134,68,0,16,0,16,0,16,0,16,0,16,6,8,6,8,0,16
14000US21111010705,"Census Tract 107.05, Jefferson, KY",6461,410,6247,415,4686,378,401,153,0,16,783,374,0,16,0,16,377,231,41,64,336,214,214,134,157,112,0,16,8,15,0,16,0,16,4,6,45,64,0,16,45,64
14000US21111010800,"Census Tract 108, Jefferson, KY",3662,314,3596,316,2988,295,414,146,0,11,72,62,3,5,5,9,114,93,8,11,106,93,66,42,41,37,0,11,0,11,0,11,0,11,23,22,2,4,2,4,0,11
14000US21111010901,"Census Tract 109.01, Jefferson, KY",4583,413,4168,382,3059,384,835,289,0,11,216,187,0,11,0,11,58,72,0,11,58,72,415,232,301,228,88,77,0,11,0,11,0,11,26,43,0,11,0,11,0,11
14000US21111011002,"Census Tract 110.02, Jefferson, KY",5686,590,5108,610,1883,291,2660,634,108,115,358,181,0,16,3,5,96,84,0,16,96,84,578,254,446,227,103,74,0,16,0,16,0,16,18,26,11,19,0,16,11,19
14000US21111011003,"Census Tract 110.03, Jefferson, KY",6630,383,6039,466,4296,473,1043,367,0,16,553,250,0,16,35,55,112,90,39,57,73,75,591,337,539,328,0,16,0,16,0,16,0,16,52,82,0,16,0,16,0,16
14000US21111011004,"Census Tract 110.04, Jefferson, KY",6733,664,6044,667,4436,391,1284,551,0,16,167,191,0,16,0,16,157,146,0,16,157,146,689,444,584,462,44,68,0,16,0,16,0,16,61,101,0,16,0,16,0,16
14000US21111011005,"Census Tract 110.05, Jefferson, KY",2946,235,2751,307,1903,332,699,132,0,11,63,41,0,11,11,19,75,69,0,11,75,69,195,154,195,154,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
14000US21111011102,"Census Tract 111.02, Jefferson, KY",7081,521,6412,626,5361,625,638,243,65,90,292,335,14,21,0,16,42,44,0,16,42,44,669,429,422,295,0,16,0,16,0,16,0,16,247,329,0,16,0,16,0,16
14000US21111011106,"Census Tract 111.06, Jefferson, KY",7386,553,6946,591,4795,742,1524,718,6,10,338,268,0,16,0,16,283,253,0,16,283,253,440,288,75,81,200,195,0,16,0,16,0,16,165,202,0,16,0,16,0,16
14000US21111011109,"Census Tract 111.09, Jefferson, KY",1975,142,1818,167,1521,137,199,116,0,11,62,60,0,11,0,11,36,35,0,11,36,35,157,109,154,107,0,11,0,11,0,11,0,11,0,11,3,5,0,11,3,5
14000US21111011110,"Census Tract 111.10, Jefferson, KY",6513,422,6366,460,5915,379,394,256,0,16,0,16,0,16,12,23,45,56,0,16,45,56,147,134,120,124,0,16,0,16,0,16,0,16,0,16,27,33,0,16,27,33
14000US21111011111,"Census Tract 111.11, Jefferson, KY",5407,349,5099,430,3908,398,977,322,0,16,86,56,0,16,15,23,113,85,0,16,113,85,308,244,277,243,0,16,0,16,0,16,0,16,13,20,18,29,0,16,18,29
